dataset,condition,n,faithfulness,hallucination_rate,p99_latency_ms,mean_latency_ms,base_index_s,raptor_index_s,wall_clock_cost_per_1k_queries_s
hotpotqa,crag,200,0.643152,0.105,3280.63191,1473.039655,7.85,102.523,1473.04
hotpotqa,hcpc_v2,200,0.632306,0.13,4032.4312,1840.579685,7.85,102.523,1840.58
hotpotqa,raptor_2l,200,0.630825,0.13,4042.83756,1906.35384,7.85,102.523,1906.354
hotpotqa,selfrag,200,0.5739,0.43,46965.37635,6157.93416,7.85,102.523,6157.934
squad,crag,200,0.698205,0.12,3317.52223,1021.15564,7.914,163.862,1021.156
squad,hcpc_v2,200,0.708378,0.125,3611.51905,1348.626385,7.914,163.862,1348.626
squad,raptor_2l,200,0.710022,0.125,3188.72678,1295.573235,7.914,163.862,1295.573
squad,selfrag,200,0.574128,0.39,44800.05317,7542.42284,7.914,163.862,7542.423
